Timestamp,UserID,UserName,Action,Detail
2025-12-19 20:47:17.555,120407271,rukomoynikov (Max),send file,451569.fb2:Fray_Eho_1_Labirinty-Eho-Tom-1.kzUO9Q.451569.fb2.zip
2025-12-19 20:45:17.090,120407271,rukomoynikov (Max),searched for books by book info,Лабиринты Ехо; count:226
2025-12-19 20:38:07.398,120407271,rukomoynikov (Max),searched for books by book info,; count:2000
2025-12-19 20:37:37.229,120407271,rukomoynikov (Max),searched for books by book info,Макс Фрай; count:461
2025-12-19 20:35:47.306,120407271,rukomoynikov (Max),searched for books by book info,Макс Фрай; count:461
2025-12-19 20:34:36.460,120407271,rukomoynikov (Max),show populars,show_pop_999
2025-12-19 20:33:59.182,120407271,rukomoynikov (Max),started bot,
2025-12-19 20:27:37.300,345105158,a_nelka (Анелия),send file,734752.fb2:Zayceva_Sanya-Gnom-i-Zhenka_1_Dva-deda-Moroza-dlya-menya.M2xKOw.734752.fb2.zip
2025-12-19 20:27:30.488,345105158,a_nelka (Анелия),send file,734756.fb2:Tayger_Igra-bez-pravil-Tayger-_2_Charodeyka-dlya-dvoih-igra-bez-pravil.734756.fb2.zip
2025-12-19 20:27:25.664,345105158,a_nelka (Анелия),send file,736603.fb2:Strelneva_Otbor-dlya-docheri-prezidenta.736603.fb2.zip
2025-12-19 20:27:05.124,345105158,a_nelka (Анелия),send file,738382.fb2:Kucher_Lyubov-na-troih-Kucher-_3_Kukolka-v-podarok.9oHH4A.738382.fb2.zip
2025-12-19 20:26:59.893,345105158,a_nelka (Анелия),send file,794551.fb2:Tarasenko_Yana-Ochnutsya-v-budushchem-SI-.i1A57g.794551.fb2.zip
2025-12-19 20:26:38.146,345105158,a_nelka (Анелия),send file,811134.fb2:Durman_Volchya-yagodka.mivcng.811134.fb2.zip
2025-12-19 20:26:32.847,345105158,a_nelka (Анелия),send file,740769.fb2:Timofeeva_Hochesh-moyu-zhizn-.740769.fb2.zip
2025-12-19 20:26:31.820,1146713123,None (Соколова та),send file,843485.fb2:Andrianov_Ya-Nekromant_2_Ya-Nekromant-Chast-2.843485.fb2.zip
2025-12-19 20:25:26.338,345105158,a_nelka (Анелия),searched for books by book info,Я люблю! Летняя; count:499
2025-12-19 20:24:41.305,6704682822,None (Lana),show genres of parent genre,Фантастика
2025-12-19 20:24:40.223,6704682822,None (Lana),show genres of parent genre,Фантастика
2025-12-19 20:24:24.320,6704682822,None (Lana),viewed parent genres,
2025-12-19 20:23:56.730,345105158,a_nelka (Анелия),searched for books by book info,Самая слабая особь; count:500
2025-12-19 20:23:48.791,6704682822,None (Lana),started bot,
2025-12-19 20:18:00.647,315310107,bornwhite (Артемий),send file,718210.fb2:Engl_Lyubov-kotoraya-ubivaet-Kak-raspoznat-psihologicheskoe-nasilie-i-postroit-zdorovye-otnosheniya.718210.epub
2025-12-19 20:17:08.486,315310107,bornwhite (Артемий),searched for books by book info,Беверли Энгл; count:121
2025-12-19 20:16:55.717,315310107,bornwhite (Артемий),started bot,
2025-12-19 20:16:43.190,315310107,bornwhite (Артемий),started bot,
2025-12-19 20:15:55.337,345105158,a_nelka (Анелия),searched for books by book info,Призванная для утех: Шутки богов; count:1124
2025-12-19 20:15:54.496,345105158,a_nelka (Анелия),searched for books by book info,Наказание для императора; count:782
2025-12-19 20:15:52.620,345105158,a_nelka (Анелия),searched for books by book info,Любовь до крови; count:1140
2025-12-19 20:15:35.613,345105158,a_nelka (Анелия),searched for books by book info,Царство драконьего мира; count:1220
2025-12-19 20:15:34.452,345105158,a_nelka (Анелия),searched for books by book info,Мой эльфийский муж; count:1683
2025-12-19 20:12:11.587,345105158,a_nelka (Анелия),searched for books by book info,Дебоширка против пятерки; count:1348
2025-12-19 20:10:50.069,345105158,a_nelka (Анелия),searched for books by book info,Между черным и белым; count:1053
2025-12-19 20:08:09.957,345105158,a_nelka (Анелия),searched for books by book info,Отдана охотникам: варвары белых песков; count:400
2025-12-19 20:07:49.291,345105158,a_nelka (Анелия),searched for books by book info,Пленница Севера; count:522
2025-12-19 20:07:02.536,345105158,a_nelka (Анелия),searched for books by book info,Дикий. Прирученный. Твой; count:673
2025-12-19 20:03:35.734,345105158,a_nelka (Анелия),changed page of books,0
2025-12-19 20:01:53.165,345105158,a_nelka (Анелия),changed page of books,1
2025-12-19 19:58:13.837,922783917,ganusja89 (Анна),searched for books by book info,Десятая книга; count:702
2025-12-19 19:56:13.958,922783917,ganusja89 (Анна),showed settings menu,
2025-12-19 19:56:10.379,922783917,ganusja89 (Анна),set book_format to fb2,
2025-12-19 19:56:07.427,922783917,ganusja89 (Анна),showed book format setting for user,
2025-12-19 19:55:57.645,922783917,ganusja89 (Анна),showed settings menu,
2025-12-19 19:55:42.955,922783917,ganusja89 (Анна),started bot,
2025-12-19 19:49:24.292,345105158,a_nelka (Анелия),searched for books by book info,Два деда Мороза для меня; count:1378
2025-12-19 19:49:22.730,345105158,a_nelka (Анелия),searched for books by book info,Чародейка для двоих: игра без правил; count:1480
2025-12-19 19:46:50.521,896024586,maraki1202 (🧿𝓜𝓪𝓻𝓲𝔂𝓪🧿),searched for books by book info,Зеркало бедного зайца; count:589
2025-12-19 19:46:27.556,345105158,a_nelka (Анелия),searched for books by book info,Серия; count:633
2025-12-19 19:46:18.268,345105158,a_nelka (Анелия),searched for books by book info,Отбор для дочери президента; count:1011
2025-12-19 19:46:04.827,345105158,a_nelka (Анелия),searched for books by book info,Кладовая Фейри; count:205
